ID,team,abbr,Conference,Division
1,Arizona Cardinals,ari,NFC,West
2,Atlanta Falcons,atl,NFC,South
3,Baltimore Ravens,bal,AFC,North
4,Buffalo Bills,buf,AFC,East
5,Carolina Panthers,car,NFC,South
6,Chicago Bears,chi,NFC,North
7,Cincinnati Bengals,cin,AFC,North
8,Cleveland Browns,cle,AFC,North
9,Dallas Cowboys,dal,NFC,East
10,Denver Broncos,den,AFC,West
11,Detroit Lions,det,NFC,North
12,Green Bay Packers,gb,NFC,North
13,Houston Texans,hou,AFC,South
14,Indianapolis Colts,ind,AFC,South
15,Jacksonville Jaguars,jax,AFC,South
16,Kansas City Chiefs,kc,AFC,West
17,Miami Dolphins,mia,AFC,East
18,Minnesota Vikings,min,NFC,North
19,New England Patriots,ne,AFC,East
20,New Orleans Saints,no,NFC,South
21,New York Giants,nyg,NFC,East
22,New York Jets,nyj,AFC,East
23,Las Vegas Raiders,lv,AFC,West
24,Philadelphia Eagles,phi,NFC,East
25,Pittsburgh Steelers,pit,AFC,North
26,Los Angeles Chargers,lac,AFC,West
27,San Francisco 49ers,sf,NFC,West
28,Seattle Seahawks,sea,NFC,West
29,Los Angeles Rams,lar,NFC,West
30,Tampa Bay Buccaneers,tb,NFC,South
31,Tennessee Titans,ten,AFC,South
32,Washington Commanders,wsh,NFC,East
